127.0.0.1 - - [26/Sep/2015:10:36:43 -0300] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [26/Sep/2015:10:37:29 -0300] "GET /TpAgenda/Formulario.html HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [26/Sep/2015:10:37:31 -0300] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [26/Sep/2015:10:37:40 -0300] "POST /Agenda/Romina/Contactos HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [26/Sep/2015:10:40:56 -0300] "GET /Agenda/Romina/Contactos HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [26/Sep/2015:10:41:09 -0300] "GET /Agenda/Romina/Contactos/Formulario.html HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [26/Sep/2015:10:41:20 -0300] "GET /TpAgenda/Formulario.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2015:10:41:30 -0300] "POST /Agenda/Romina/Contactos HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [26/Sep/2015:10:42:01 -0300] "GET /Agenda/Romina/Contactos HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [26/Sep/2015:10:42:11 -0300] "GET /Agenda/Romina/Contactos/Formulario.html HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [26/Sep/2015:10:42:32 -0300] "GET /TpAgenda/Agenda/Formulario.html HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [26/Sep/2015:10:42:45 -0300] "GET /TpAgenda/Formulario.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2015:10:42:54 -0300] "GET /TpAgenda/Formulario.html HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [26/Sep/2015:10:43:10 -0300] "POST /Agenda/Romina/Contactos HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [26/Sep/2015:16:36:32 -0300] "GET /TpAgenda/Formulario.html HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [26/Sep/2015:22:06:07 -0300] "GET /TpAgenda/Formulario.html HTTP/1.1" 304 -
